Title,Year,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+
Young & Hungry,2014,7.4,60,True,False,False,False
Club de Cuervos,2015,8.2,80,True,False,False,False
I'm Sorry,2017,7.9,75,True,False,False,False
The Universe,2007,8.8,0,True,False,False,False
The Chalet,2018,7.0,100,True,False,False,False
My Next Guest Needs No Introduction With David Letterman,2018,7.9,83,True,False,False,False
Still Game,2002,8.9,0,True,False,False,False
NOVA,1974,8.7,0,True,False,True,False
The Confession Killer,2019,7.4,100,True,False,False,False
Father Brown,2013,7.7,0,True,False,False,False
Bordertown,2016,7.6,39,True,False,False,False
Battle Creek,2015,7.3,96,True,False,False,False
Valhalla Murders,2019,7.1,0,True,False,False,False
Scream: The TV Series,2015,7.2,0,True,False,False,False
Special,2019,7.6,95,True,False,False,False
CSI: Miami,2002,6.4,0,True,True,False,False
3Below: Tales of Arcadia,2018,7.8,100,True,False,False,False
Mystery Science Theater 3000: The Return,2017,8.0,100,True,False,False,False
Dear White People,2017,6.2,95,True,False,False,False
LEGO Ninjago: Masters of Spinjitzu,2012,6.8,0,True,False,True,False
The English Game,2020,7.6,67,True,False,False,False
White Gold,2017,7.4,88,True,False,False,False
Crazyhead,2016,7.3,100,True,False,False,False
The Protector,2018,6.9,0,True,False,False,False
Dirty John,2018,7.1,71,True,False,False,False
Get Shorty,2017,8.2,0,True,False,False,False
30 for 30,2009,8.8,0,True,False,False,False
Bard of Blood,2019,7.0,0,True,False,False,False
The Great Train Robbery,2013,7.4,78,True,False,False,False
Devilman: Crybaby,2018,7.6,80,True,False,False,False
Good Witch,2015,7.3,0,True,False,False,False
It's Bruno!,2019,7.5,100,True,False,False,False
Gurren Lagann,2007,8.3,0,True,False,False,False
Gentefied,2020,7.3,88,True,False,False,False
Victorious,2010,6.9,0,True,False,False,False
Dynasty,2017,7.3,0,True,False,False,False
The Curious Creations of Christine McConnell,2018,7.7,100,True,False,False,False
El Chapo,2017,7.8,0,True,False,False,False
Trinkets,2019,7.1,50,True,False,False,False
The Get Down,2016,8.3,0,True,False,False,False
Masum,2017,8.5,0,True,False,False,False
My Little Pony: Friendship Is Magic,2010,7.6,0,True,True,False,False
Fuller House,2016,6.8,28,True,False,False,False
Kill la Kill,2013,7.9,0,True,False,False,False
Dark Tourist,2018,7.6,70,True,False,False,False
Shtisel,2013,8.7,0,True,False,False,False
Great News,2017,7.0,84,True,False,False,False
Ouran High School Host Club,2006,8.2,0,True,True,False,False
Grand Hotel,2011,8.4,0,True,False,False,False
The Curse of Oak Island,2014,7.0,0,True,True,False,False
Workin' Moms,2017,7.5,0,True,False,False,False
Z Nation,2014,6.7,0,True,False,False,False
Losers,2019,7.7,100,True,False,False,False
"Roswell, New Mexico",2019,6.1,55,True,False,False,False
Comedians in Cars Getting Coffee,2012,8.1,0,True,False,False,False
Conan,2010,8.1,0,True,False,False,False
The Guild,2007,8.2,0,True,False,False,False
Friends from College,2017,6.8,24,True,False,False,False
Wormwood,2017,7.0,92,True,False,False,False
Watership Down,2018,7.2,77,True,False,False,False
Mr. Sunshine,2018,8.8,0,True,False,False,False
Bitten,2014,7.0,0,True,False,False,False
No Game No Life,2014,7.9,0,True,False,False,False
Violet Evergarden,2018,8.4,0,True,False,False,False
Clannad,2007,7.9,0,True,True,False,False
Gypsy,2017,6.9,38,True,False,False,False
Virgin River,2019,7.5,0,True,False,False,False
Gilmore Girls: A Year in the Life,2016,7.7,0,True,False,False,False
The Innocent Man,2018,7.4,73,True,False,False,False
Tuca & Bertie,2019,7.4,100,True,False,False,False
#blackAF,2020,6.6,0,True,False,False,False
Lovesick,2014,8.1,36,True,False,False,False
Mr. Iglesias,2019,7.1,88,True,False,False,False
Hot Girls Wanted: Turned On,2017,6.7,100,True,False,False,False
